track_name,track_id,album_id
Some Chords,7nQqukBuClFtuaegbRAdNP,47MVgO7XNmxzoYSJIvqxAG
Sofi Needs a Ladder,2KlnmRIHandZIyEuZF8cZs,47MVgO7XNmxzoYSJIvqxAG
City in Florida,0uWBxatLqMmMRrBBij6y9c,47MVgO7XNmxzoYSJIvqxAG
Bad Selection,4Qrq7tHuWmdc7aFu9WhwW9,47MVgO7XNmxzoYSJIvqxAG
Animal Rights,2DHDdNrGxqVfskQKZ3iTmj,47MVgO7XNmxzoYSJIvqxAG
I Said - Michael Woods Remix,4mzaDfYB2pTvBmS1ocVkEJ,47MVgO7XNmxzoYSJIvqxAG
Right This Second,6XiIRJj7xO62wWQYn7iWPo,47MVgO7XNmxzoYSJIvqxAG
Raise Your Weapon,4opuJhE5VH8Yg8YRnr1m8m,47MVgO7XNmxzoYSJIvqxAG
One Trick Pony,56WVULdTfBLm31VzVHXKeV,47MVgO7XNmxzoYSJIvqxAG
Everything Before,2jH7D9X8ceClU1RBABvTQj,47MVgO7XNmxzoYSJIvqxAG
Ghosts 'n' Stuff,4hoLGu75HMgNzt2QTgfowe,4uKFNr3KNqr4zeLWJfBC66
Raise Your Weapon,4tjzKdP7PiP6njhY6JyJtF,4uKFNr3KNqr4zeLWJfBC66
I Remember,5kv9vZaepfhLvGLY7ZCGCn,4uKFNr3KNqr4zeLWJfBC66
Some Chords,3k0v4xBO1lkzK2ii6sfKQv,4uKFNr3KNqr4zeLWJfBC66
Strobe - Club Edit,07KpFg1TiRmyCWFlIrGJf5,4uKFNr3KNqr4zeLWJfBC66
The Veldt - 8 Minute Edit,3Gypwxzrov1uVkswB7sSSy,4uKFNr3KNqr4zeLWJfBC66
Brazil - 2nd Edit,5CX19RynzN2Izq6JQj862Z,4uKFNr3KNqr4zeLWJfBC66
Aural Psynapse,3xUIgEKYLVZNAvT9umSijn,4uKFNr3KNqr4zeLWJfBC66
Not Exactly,3xNG0ASp2U6XGmQT8BlFK8,4uKFNr3KNqr4zeLWJfBC66
Sofi Needs A Ladder,3MeeG38qCzp15leTP77ePx,4uKFNr3KNqr4zeLWJfBC66
Some Chords - Dillon Francis Remix,1vaERuuvXxH9jJ3TbhZ12L,4uKFNr3KNqr4zeLWJfBC66
Ghosts 'n' Stuff - Chuckie Remix,2sXNZDQYXjAcmriH1fvDK3,4uKFNr3KNqr4zeLWJfBC66
The Veldt (deadmau5 Vs. Eric Prydz Edit),4rHk2tXZ0r8HCKsPLqXQPT,4uKFNr3KNqr4zeLWJfBC66
Maths - Botnek Remix,4aOiOA6b5k81AMmeHEvsnW,4uKFNr3KNqr4zeLWJfBC66
Raise Your Weapon - Madeon Extended Remix,6fZxSrBt0IPIuIlhlUI2da,4uKFNr3KNqr4zeLWJfBC66
Strobe - Michael Woods 2014 Remix,4nPucjNQyWwU9BUtkXO4df,4uKFNr3KNqr4zeLWJfBC66
I Remember - Shiba San Remix,7iKZvpF3lAixdn92pY0tG5,4uKFNr3KNqr4zeLWJfBC66
Raise Your Weapon - Wax Motif Remix,2bd84Af4oy6UWPda8K4nbW,4uKFNr3KNqr4zeLWJfBC66
Sofi Needs A Ladder - Pig&Dan Remix,1QuAY1eYz1Vl0R9ZSvQc81,4uKFNr3KNqr4zeLWJfBC66
Ghosts ‘n’ Stuff - NERO Remix,0iTzJzy5qBL4NaEDyi1HMK,4uKFNr3KNqr4zeLWJfBC66
Raise Your Weapon,5TLzLDXW1DyZvzTsDvRIy3,4uKFNr3KNqr4zeLWJfBC66
Superliminal,0VfKj5AuF9uis7Dn8l7LPv,4zksvtV0HswF5ZRJS9QsfX
Channel 42,205OX0j3oM5tgUHhyGGmSs,4zksvtV0HswF5ZRJS9QsfX
The Veldt - 8 Minute Edit,7oPqRSubaWcDb5F68aw3P6,4zksvtV0HswF5ZRJS9QsfX
Fn Pig,0IQLPV5on0VJptQyAs30If,4zksvtV0HswF5ZRJS9QsfX
Professional Griefers - Vocal Mix,2AqazcPtVXn7uhFIyInNNp,4zksvtV0HswF5ZRJS9QsfX
Maths - Original Mix,0KjChHU68Ey2hAE9KwfEdR,4zksvtV0HswF5ZRJS9QsfX
There might be coffee,6EhZ4KKnDsDt1WECQmqpxh,4zksvtV0HswF5ZRJS9QsfX
Take care of the proper paperwork,40KBfdBdpVXxD1IMWmjPvZ,4zksvtV0HswF5ZRJS9QsfX
Closer,5kdeqGI42raYlxtZmdZCHE,4zksvtV0HswF5ZRJS9QsfX
October,2fcR7PCgVILgovq14wK39g,4zksvtV0HswF5ZRJS9QsfX
Sleepless,781KGu6ckiXdOYmgkzRJ42,4zksvtV0HswF5ZRJS9QsfX
Failbait - Original Mix,67PaghTVpK6ebWYUARQ02y,4zksvtV0HswF5ZRJS9QsfX
Telemiscommunications,284N7w8a1WjvIPfCzeeOWT,4zksvtV0HswF5ZRJS9QsfX
Afterhours,7qsvQRnrKBTH948NgeyMfl,3xp9A0kXzxqUztRASTjVD5
Hey Baby,5T6NjHZkbAPE3sZJAPWCVA,3xp9A0kXzxqUztRASTjVD5
Cocktail Queen,0E6mKBf3PkHl95j8QpFMB7,3xp9A0kXzxqUztRASTjVD5
Something Inside Me,5vjCFM7JLjmwBZlZV0kG4T,3xp9A0kXzxqUztRASTjVD5
Whispers,10Ej2xZnKRSTwb6VFi5bAS,3xp9A0kXzxqUztRASTjVD5
Hey Baby - deadmau5 Mellygasm Remix,4i7sqKHfjJ8S2eXFPcJ0On,3xp9A0kXzxqUztRASTjVD5
Afterhours - deadmau5 Smoothy House Remix,6YBzYp7HfbLtZbmB2Zq04g,3xp9A0kXzxqUztRASTjVD5
Outta My Life - deadmau5 Touch Remix,0ppULK7MiVWNlbAGvaRsBR,7yYix5bdURcdnlmHTaitEz
Mr G,7MwzZjPYw5wJUBpS6Ns6va,7yYix5bdURcdnlmHTaitEz
Reduction,6udiVcpdM64ocfdNl9Bt8L,7yYix5bdURcdnlmHTaitEz
This Is Also The Hook,2oOwGZg7achgo0ZU2FMZCq,7yYix5bdURcdnlmHTaitEz
Orca,4ErkppfwyNLIcGhkYmkN8a,7yYix5bdURcdnlmHTaitEz
Tau V2,683qAflytnzppTkrPdiTNd,7yYix5bdURcdnlmHTaitEz
This Noise,2adsXGgcX5ZtwodRV3LseX,7yYix5bdURcdnlmHTaitEz
R My Dreams,0neX9ScK70pcUmPqhlyqOP,7yYix5bdURcdnlmHTaitEz
Cyclic Redundancy,5lGDv6z5IkIPfyyKr9JRbv,5AzAgASWg9uetYvwOKOLFQ
Apply Overnight,03fEjqLYPTZOox6IXwFL6P,5AzAgASWg9uetYvwOKOLFQ
Plus,3ZqXxuavQczcTX1t359gv8,5AzAgASWg9uetYvwOKOLFQ
Lai,6yl9V2af8NxUCDv6CCnqOp,5AzAgASWg9uetYvwOKOLFQ
TL7,4oorhtijBU6RORW3DqqApM,5AzAgASWg9uetYvwOKOLFQ
Bounce,6N1WTKUPwlfyJP4OOJP8wf,5AzAgASWg9uetYvwOKOLFQ
Full Bloom,1JoMagnANiOC3IfYeIx2nb,5AzAgASWg9uetYvwOKOLFQ
Templar,3vQvyIsrVaM7TBzdwoIZ9e,5AzAgASWg9uetYvwOKOLFQ
Stereo Fidelity,7q6ngpPvSMcVf9nSRKkz2O,5AzAgASWg9uetYvwOKOLFQ
Whispers - deadmau5 Remix,25sYriuqKhmPzSU8Cyi1eA,5AzAgASWg9uetYvwOKOLFQ
I Like Your Music,4XPd6FnhrM4vPNXpwJsGOg,5xjXARHTm4YSmQPDDFZO0W
Point Vanishes,4X2itmXvU04PCneaZROmqD,5xjXARHTm4YSmQPDDFZO0W
Trepid,0BHru0MhAEkNDugjxUy3Ai,5xjXARHTm4YSmQPDDFZO0W
Sex Lies Audiotape - Redux Remix,2gOpk25jnnuXC6C6CZ6Lz3,5xjXARHTm4YSmQPDDFZO0W
Something Inside Me - Electro Remix,6xMcA4BhWWYn0Tc0im53oe,5xjXARHTm4YSmQPDDFZO0W
Tau V1,1ZVHNJaiUNegpjn040DmRH,5xjXARHTm4YSmQPDDFZO0W
GH,5lffEBLZkujJq35S1DTxJJ,5xjXARHTm4YSmQPDDFZO0W
Subvert,4dSvKeEsRET9n0HpTsCztC,5xjXARHTm4YSmQPDDFZO0W
1891,7C4kU6EFodZaS2vnRgGlXH,5xjXARHTm4YSmQPDDFZO0W
Fustercluck,3CZ6Mud4NykTMo1Qjigy97,5xjXARHTm4YSmQPDDFZO0W
Bitter Kitten,6hNrxNBOuifMjc5MOhAurO,7EfWC42oCPkqWKF0E5YCcm
Overdraft,1JIsiXNdK1etlIqP6wnVUX,7EfWC42oCPkqWKF0E5YCcm
Fallen,2gJvg54mUopXG7mCizmrMk,7EfWC42oCPkqWKF0E5YCcm
I Like Your Music - deadmau5 Velvet Remix,0kIo6oT8kfj9h2snOHbr87,7EfWC42oCPkqWKF0E5YCcm
Assorted,0qS2gqAOih5GFU6oxjIIOx,7EfWC42oCPkqWKF0E5YCcm
Afterhours - Electro House Mix,0X5naye3DzZ6j3acJu8JPd,7EfWC42oCPkqWKF0E5YCcm
This Noise - Deeper Logic Mix,1aUT8xkfcs1FIGL5mDuWaN,7EfWC42oCPkqWKF0E5YCcm
All U Ever Want,2sxgUzpRiyOUgGVsxogOul,7EfWC42oCPkqWKF0E5YCcm
Stereo Fidelity - deadmau5 Unorganized Remix,53aHbrvKkVykaPQCZN7aHf,7EfWC42oCPkqWKF0E5YCcm
Outta My Life - deadmau5 Deep Dub Remix,62wKZQX2bp83pCKvbhZhCo,7EfWC42oCPkqWKF0E5YCcm
Random Album Title - Continuous Mix,4KCmImhUtzdD9wtsyfiUlu,0w9IOGzMnFxLzISgcnI11T
For Lack Of A Better Name - Mixed Version,08QXiceIwOreYSi52wkmfS,0w9IOGzMnFxLzISgcnI11T
"Sometimes Things Get, Whatever",34n7CRd4Yqva2fA3Sr2eky,0w9IOGzMnFxLzISgcnI11T
Complications,6NO3qsiHRiGPevxFux1Dr8,0w9IOGzMnFxLzISgcnI11T
Slip,47ymLGjHgZAte21sobIxuS,0w9IOGzMnFxLzISgcnI11T
Some Kind Of Blue,26b8I3fJ9fNTLqGswAAqMZ,0w9IOGzMnFxLzISgcnI11T
Brazil - 2nd Edit,5J6GBLzWJtDBiHq20jZC3m,0w9IOGzMnFxLzISgcnI11T
Alone With You,4xy8fOypLvH8d2Wq0iRTZM,0w9IOGzMnFxLzISgcnI11T
I Remember,1bx4iBvaMkv4AeObSnIWAE,0w9IOGzMnFxLzISgcnI11T
Not Exactly,7nzHZcm3YGRZhOnOm6sk1y,0w9IOGzMnFxLzISgcnI11T
Arguru,0MGgYDoaPHRcy2mdfqzSth,0w9IOGzMnFxLzISgcnI11T
So There I Was,4837ICOWQfNnDySswiDThX,0w9IOGzMnFxLzISgcnI11T
FML,4C1Ow4ubb6Kpu5ISHKFfV1,0w9IOGzMnFxLzISgcnI11T
Moar Ghosts 'n' Stuff,4vcOnWsH3ZVXEmcCHSN8QB,0w9IOGzMnFxLzISgcnI11T
Ghosts 'n' Stuff,3ogKgb8reIWXqqwhvewzkq,0w9IOGzMnFxLzISgcnI11T
Hi Friend - Vocal Mix,35CjjfGzeguTaZBs2a4DtC,0w9IOGzMnFxLzISgcnI11T
Bot,00gCAZR5vEvUrBzQaF3Dcg,0w9IOGzMnFxLzISgcnI11T
Word Problems,1jwBVQlSyptI1CnyHhwm72,0w9IOGzMnFxLzISgcnI11T
Soma,0DJuokJW1DSJInooTqxtsD,0w9IOGzMnFxLzISgcnI11T
Lack Of A Better Name,5tqt2A303E8CH5GxMB3ukn,0w9IOGzMnFxLzISgcnI11T
The 16th Hour,747DuQZoDlCMKl27GtpiBP,0w9IOGzMnFxLzISgcnI11T
Strobe,1dtXQHutjKSKOKvXoXEo2c,0w9IOGzMnFxLzISgcnI11T
Moar Ghosts ‘N’ Stuff,4itqcnGvi07cvMBj0RWbNb,0w9IOGzMnFxLzISgcnI11T
Not Exactly - Live,2AfYrIBdCbOHOOI2hLRHJj,0w9IOGzMnFxLzISgcnI11T
FML,624AQbbtSdfr3moV60Y9bJ,6joEzRLMbBupLqV2MHQO6A
Moar Ghosts n Stuff,6bOX1MFfYqjsa6GdxqdAo3,6joEzRLMbBupLqV2MHQO6A
Ghosts 'n' Stuff (feat. Rob Swire),3dDmkbYfVPpFY9PLCZQxAT,6joEzRLMbBupLqV2MHQO6A
